,mpc_steer,mpc_vel,odom_vel,odom_x,odom_y,odom_yaw,path_x,path_y,path_yaw,ros_time
0,0.008725286353563065,0.2499824406473894,0.002041005210269719,-19.78939841858665,-13.337073361847455,0.01354365717727509,"[-19.789417542575865, -19.573680627563714, -19.393278728352463, -19.22463118582157, -19.0497872697829, -18.86413346980298, -18.666991923379875, -18.458790780898298, -18.23941367470244, -18.00887289368546, -17.76727645576381, -17.53602013228464, -17.31540340396717, -17.10560475726375, -16.906649865890493, -16.71867394857573, -16.541684838648276, -16.374586809911737, -16.196394901581538, -16.001069449053254]","[-13.33699251938345, -13.279983519522586, -13.179957286460878, -13.084477186675244, -12.985952084049492, -12.881189356117863, -12.77136588941571, -12.655724947040776, -12.534464324576637, -12.407569557398224, -12.274848038520283, -12.148923647515025, -12.02957076951093, -11.916472407948788, -11.8095836376205, -11.708657186968853, -11.613677593390888, -11.526703686436413, -11.439621130107504, -11.360167887213358]","[0.013505621205803462, 0.45846329149302706, 0.46660200863085377, 0.47803637867909005, 0.4813740256473637, 0.4835367361167552, 0.48529819349111497, 0.48679105985605525, 0.48557565765617255, 0.48569534476652204, 0.4852576926494893, 0.4809027671463388, 0.48085889230887274, 0.4803871184076387, 0.4787997100544526, 0.47699836280094304, 0.46884925071529854, 0.4576950117771754, 0.3868353357442152, 0.385311907324731]",13170000000
1,0.01733945706481657,0.4987666408619402,0.3372698281291468,-19.783310756631916,-13.337448071869549,0.013477287024145319,"[-19.78939841858665, -19.570451914755964, -19.385217961652465, -19.211209851681506, -19.026408937620783, -18.831141912590674, -18.62484759865221, -18.408002063739453, -18.180627033537473, -17.942916023595643, -17.70192377938555, -17.472210592500176, -17.25374133075051, -17.04646045285314, -16.850172461989757, -16.664927896300192, -16.490660400820833, -16.32628551816895, -16.16662187642126, -16.001069449053254]","[-13.337073361847455, -13.281011621651986, -13.179489505037793, -13.081605662030384, -12.978272270138982, -12.86920243743459, -12.755502413343804, -12.63649913319767, -12.512408696552534, -12.383333963181103, -12.252233187095118, -12.127624029346768, -12.009355890518732, -11.897154624173496, -11.790998653903426, -11.690658739053651, -11.596091512843204, -11.509104419397387, -11.429268691306556, -11.360167887213358]","[0.013543657177275093, 0.4195242845495616, 0.4278994602079287, 0.4395966215238311, 0.4433184223652896, 0.445970848541744, 0.44833858142531363, 0.4505578330577177, 0.45030439420392526, 0.45144742095436025, 0.4517011914076851, 0.44846318905003013, 0.4488579174498572, 0.44875979412622485, 0.4475269299004344, 0.4460182955921915, 0.4390257074082666, 0.4296739319528192, 0.3868550984724857, 0.385311907324731]",13231000000
2,0.026060256965642063,0.37433800285280394,0.309763178983963,-19.771592841123258,-13.336412140117318,0.01302826795878809,"[-19.783310756631916, -19.578665346521035, -19.401045296899763, -19.212870506099055, -19.013941815824726, -18.80445218345138, -18.583860666765872, -18.352653569549158, -18.110865129565507, -17.86492745444543, -17.631326841545878, -17.409186899456312, -17.19842349287843, -16.99894305043193, -16.81054469352684, -16.633286177405555, -16.4671225254261, -16.311049884713903, -16.16426206844625, -16.001069449053254]","[-13.337448071869549, -13.28169030528676, -13.183801865591011, -13.079737189580813, -12.970072592515674, -12.85460083031289, -12.734423040028782, -12.608859563195406, -12.478100468015864, -12.345266155933745, -12.217884744626083, -12.097079974467006, -11.982653927809512, -11.874341169547046, -11.772110760722304, -11.675728033340816, -11.58515441120142, -11.502164474370078, -11.428289925288652, -11.360167887213358]","[0.013477287024145312, 0.4152491803600781, 0.4234950223829962, 0.4353931735231044, 0.4395230585722484, 0.4427255126220926, 0.4457834463523908, 0.4488380360698279, 0.4495959435324426, 0.45160281317061496, 0.4518027998767241, 0.44851997323088877, 0.4488125017470526, 0.44860624952372824, 0.4472730119094825, 0.4456691879457448, 0.4386482175847071, 0.4293079746804061, 0.38684355838499507, 0.385311907324731]",13288000000
3,0.037445193038724595,0.4621992802200101,0.5862017018472222,-19.756137922895803,-13.336566371381188,0.013235576556789202,"[-19.771592841123258, -19.58539145120543, -19.398610871835096, -19.200937175277858, -18.992041908553066, -18.772041291084374, -18.540624984126847, -18.298374876120032, -18.045600192372298, -17.804778869147043, -17.57503239468471, -17.35669290871379, -17.150059796753386, -16.955190969953787, -16.77203792704885, -16.600717758179517, -16.4412159689631, -16.292647684094348, -16.153644611399372, -16.001069449053254]","[-13.336412140117318, -13.278878338924825, -13.177276129702118, -13.071471377157735, -12.961574996310777, -12.847087377144389, -12.728731586428394, -12.605723693103055, -12.478102722142417, -12.354450594075026, -12.23349201601733, -12.11684753375295, -12.004682448402454, -11.897063710984074, -11.794121453658072, -11.69574124960699, -11.60195636634997, -11.514428097140401, -11.434401989494539, -11.360167887213358]","[0.013028267958788087, 0.24857030215297038, 0.2645114048097236, 0.2832861922192056, 0.2963496721812394, 0.3088479587864354, 0.32128707822824665, 0.3337063999323743, 0.34459099633645096, 0.3546571099817695, 0.36290062138988977, 0.3684052340520014, 0.37551495674399177, 0.3818663385480191, 0.38718830483877537, 0.3921429245542743, 0.39370191725951925, 0.39392496322572773, 0.3799680933429407, 0.385311907324731]",13332000000
4,0.04616876411794622,0.21220428376033712,0.34690288241157974,-19.740663804922956,-13.336674848517859,0.013622093771501594,"[-19.756137922895803, -19.599372942255695, -19.419784295836955, -19.22871600613375, -19.02604303330597, -18.81193167211186, -18.586066055620382, -18.348972756812213, -18.10079226905547, -17.85084158213146, -17.61385639713023, -17.389133989764062, -17.176573248784212, -16.97604408324443, -16.78738388595219, -16.610641170730077, -16.445780769337535, -16.29197245718436, -16.148590301274385, -15.977882192848362]","[-13.336566371381188, -13.27962010401224, -13.180447557108012, -13.077056133721682, -12.969607664925757, -12.857579300296827, -12.74166700427217, -12.621060063201442, -12.495712870907214, -12.369430970595898, -12.246333255182554, -12.127721508752206, -12.013665880118706, -11.904167796541735, -11.799332445381795, -11.69903836303644, -11.603320214450074, -11.513873791097703, -11.432248499697574, -11.350820352894381]","[0.013235576556789206, 0.24606206024984953, 0.2618138900666417, 0.2804142180603616, 0.2934097623302402, 0.30590373580794183, 0.31840774292116564, 0.3309738447972304, 0.341935129975144, 0.35264080516001156, 0.36136797386817787, 0.3672670132236914, 0.37466490021727633, 0.3812381278237578, 0.3867303090860141, 0.39180616913576005, 0.3934748699559979, 0.39378045589380656, 0.3800074430011455, 0.3821611415546034]",13381000000
5,0.06975295237312279,0.08826377215730571,0.2982712027655568,-19.73025863602342,-13.336095578928791,0.013441569041969794,"[-19.740663804922956, -19.60138881473556, -19.4296289720567, -19.245833503522064, -19.049931253463658, -18.842183474013677, -18.622500608461902, -18.391645125852975, -18.149531031729133, -17.903939357803583, -17.652596654810072, -17.41381447904146, -17.188041488627416, -16.975756454367275, -16.777089897908745, -16.592251790179123, -16.421400486415006, -16.26420625246956, -16.12049671992921, -15.977882192848362]","[-13.336674848517859, -13.271365402208428, -13.180730625485339, -13.088953595232677, -12.995709032033266, -12.900227671408752, -12.802497505126079, -12.70033295282615, -12.593020796305632, -12.48322977966224, -12.366572138789774, -12.249416022741741, -12.132208036940344, -12.015398297829822, -11.899368139625158, -11.78427587533765, -11.670394792851644, -11.559517689468755, -11.453525580687632, -11.350820352894381]","[0.013622093771501595, 0.0008413326159330785, 0.028935638403059204, 0.05828386534875453, 0.08479233905070309, 0.11085127322508656, 0.13660487899953272, 0.16267323330590466, 0.18644077077763116, 0.20883432037423028, 0.2297297846237285, 0.24830180686357356, 0.26641953851655714, 0.2837225626713863, 0.3004467546960998, 0.3171073553609612, 0.3330070466518755, 0.34908211450666493, 0.3637511353296822, 0.3821611415546034]",13420000000
6,0.0784730361529134,-0.01647967763066221,0.525743681141961,-19.714929010179333,-13.335705122559853,0.013363862630130972,"[-19.73025863602342, -19.607515942257006, -19.443194297581265, -19.26645138261969, -19.077215040808223, -18.875708848387283, -18.66182265767656, -18.43624334942863, -18.19887563958054, -17.949660408215028, -17.700422436012296, -17.453491849293513, -17.220543458800297, -17.001903711283596, -16.797533362552247, -16.607456214624893, -16.431644856078343, -16.26964387271279, -16.12130913754505, -15.954676626096322]","[-13.336095578928791, -13.271729029177058, -13.182807609496525, -13.092848575448155, -13.00146833248159, -12.90787221222092, -12.811976967461785, -12.7116815907591, -12.606291804962126, -12.49682805013963, -12.381615313567353, -12.263400106732457, -12.145051808390308, -12.027026694625203, -11.909684719834486, -11.793144715023237, -11.677601981860775, -11.564682705067364, -11.456156611130904, -11.341521646701132]","[0.013441569041969796, 0.003074589627537107, 0.031899598289786585, 0.06186854898907178, 0.08878641187674764, 0.1151035502775776, 0.14099658513612956, 0.16667448378333907, 0.19029301089572553, 0.21289787946430916, 0.23361242746440647, 0.25240644129559775, 0.27046601489013367, 0.2875183394877984, 0.3038292841329428, 0.31990205933580873, 0.3351798401255714, 0.3505169418053706, 0.364574903156792, 0.37986033843991723]",13467000000
7,0.08719839569517317,-0.06867535057811386,-0.05687459674362781,-19.69953597881019,-13.335807622778471,0.013867816647846714,"[-19.700787687993675, -19.610594779019237, -19.449620247190335, -19.276198219844844, -19.09025418636597, -18.892008773639677, -18.681350749119883, -18.45896256453638, -18.22474733808781, -17.97864747741747, -17.72918293606385, -17.4820359892722, -17.245353170665958, -17.023020619470458, -16.814996118832113, -16.621301174800678, -16.44190705875074, -16.276358583135085, -16.124512263958575, -15.931446645281419]","[-13.336316965570164, -13.27208811962961, -13.183618332749358, -13.094191320146937, -13.003427350331547, -12.91052547810994, -12.815396917473072, -12.71594324616271, -12.611476065717362, -12.502999089426837, -12.38812742668208, -12.270224750816451, -12.151251853587974, -12.03251139971608, -11.914379499421827, -11.796988160111418, -11.680540616748248, -11.566663959272969, -11.457122889753743, -11.332280923907184]","[0.014136425445595626, 0.0030375581308753124, 0.031651744425165364, 0.06143616299790428, 0.08822416120300927, 0.1144619733206767, 0.14033403045096987, 0.1659079247711118, 0.18948160532370956, 0.21207441524090864, 0.23295566943747964, 0.25189556372922356, 0.2701926529239628, 0.2874189093732589, 0.30384759298599073, 0.31998811815239186, 0.33529471746518286, 0.350624901706402, 0.36465282930420717, 0.383611921991525]",13550000000
8,0.06451185762729904,-0.02369235139629586,-0.08341318675906335,-19.702661526763343,-13.336199629106762,0.014057135624362484,"[-19.69953597881019, -19.536824814484515, -19.36729433340991, -19.187973645588894, -18.999719761099126, -18.803778878171123, -18.601640638472198, -18.394939855124687, -18.185278769967823, -17.973767935540977, -17.76271276431559, -17.551079440188456, -17.33795893211688, -17.121160412229855, -16.90599707512696, -16.694114643977482, -16.487821093049018, -16.289825344464536, -16.102721300006856, -15.931446645281419]","[-13.335807622778471, -13.238200447306422, -13.140640338448, -13.041736227690697, -12.941120885127132, -12.838585554933683, -12.734212897181303, -12.628446114233746, -12.521799923425988, -12.414612436192355, -12.307644596562547, -12.200438461241395, -12.092466953322987, -11.982718618741645, -11.872312925241605, -11.761521842921935, -11.650980673570556, -11.541602649249011, -11.434569743618168, -11.332280923907184]","[0.013867816647846717, 0.037609384702020306, 0.06028613330736643, 0.08295222920631509, 0.10526725068578387, 0.1267670139411771, 0.14723934640696418, 0.1668055807219462, 0.18547537444122278, 0.20323276869951823, 0.2203219863932007, 0.23719043795411016, 0.25400717268569223, 0.2706838288226582, 0.28760799104144175, 0.3050730950367956, 0.3233259651917043, 0.34247567031790566, 0.3626586660322759, 0.383611921991525]",13634000000
9,0.055882549565968616,-0.2733299596662458,-0.07556570922816933,-19.705585822056896,-13.336094308355225,0.013775809913933583,"[-19.702661526763343, -19.55296751509228, -19.41806617432611, -19.27065822595133, -19.11079108445818, -18.938503861670963, -18.753827385271745, -18.55673337211594, -18.34722485955225, -18.12534156348845, -17.891248464341068, -17.64501788351366, -17.388742191814092, -17.143380853685606, -16.91031798694191, -16.689514314127248, -16.48091667808194, -16.28447017819354, -16.100077199429418, -15.931446645281419]","[-13.336199629106762, -13.24052496464407, -13.14625337873367, -13.051197729977094, -12.95482450031837, -12.85664268180261, -12.756316947346525, -12.653737039968362, -12.548782358881775, -12.441182424820738, -12.330834034807237, -12.217072676824651, -12.099694250776441, -11.983453982932364, -11.86894860314125, -11.756371449465469, -11.64596378124648, -11.53797026394459, -11.43275553344426, -11.332280923907184]","[0.014057135624362473, 0.0368256679166052, 0.05841631394350953, 0.08021209214963114, 0.1020231678960775, 0.12349614424997134, 0.14443279279646587, 0.1648441093966943, 0.1845984110388577, 0.20353646922144372, 0.22169304213624477, 0.23941752119554105, 0.25681308504607314, 0.27380662930278266, 0.29066648079438906, 0.3076903828622033, 0.32523885742486613, 0.3436387191586885, 0.3631809964121996, 0.383611921991525]",13672000000
